City #,DNGR,NOX,SOX,POPN,MORT
1,0,15,59,3.34,921.87
2,0,10,39,3.14,997.875
3,0,6,33,3.21,962.354
4,0,8,24,3.41,982.291
5,1,38,206,3.44,1071.289
6,1,32,72,3.45,1030.38
7,0,32,62,3.23,934.7
8,0,4,4,3.29,899.529
9,1,12,37,3.31,1001.902
10,0,7,20,3.36,912.347
11,1,8,27,3.39,1017.613
12,1,63,278,3.2,1024.885
13,0,26,146,3.21,970.467
14,0,21,64,3.29,985.95
15,0,9,15,3.26,958.839
16,0,1,1,3.22,860.101
17,0,4,16,3.35,936.234
18,0,8,28,3.15,871.766
19,0,35,124,3.44,959.221
20,0,4,11,3.53,941.181
21,0,1,1,3.22,891.708
22,0,3,10,3.37,871.338
23,0,3,5,3.45,971.122
24,0,3,10,3.25,887.466
25,0,5,1,3.35,952.529
26,0,7,33,3.23,968.665
27,0,4,4,3.1,919.729
28,0,7,32,3.38,844.053
29,0,319,130,2.99,861.833
30,1,37,193,3.37,989.265
31,1,18,34,3.49,1006.49
32,0,1,1,2.98,861.439
33,0,23,125,3.26,929.15
34,0,11,26,3.28,857.622
35,0,14,78,3.32,961.009
36,0,3,8,3.16,923.234
37,1,17,1,3.36,1113.156
38,0,26,108,3.03,994.648
39,1,32,161,3.32,1015.023
40,1,59,263,3.32,991.29
41,0,21,44,2.99,893.991
42,0,4,18,3.19,938.5
